austen	is	1.0	0.47712126	0.47712126
austen	the	1.0	0.7781513	0.7781513
austen	this	1.0	0.47712126	0.47712126
austen	end	1.0	0.7781513	0.7781513
doyle	character	0.75	0.7781513	0.58361346
doyle	ten	1.0	0.30103	0.30103
doyle	my	0.75	0.7781513	0.58361346
doyle	1878	0.75	0.47712126	0.35784096
hardy	well	0.75	0.7781513	0.58361346
hardy	very	0.75	0.7781513	0.58361346
hardy	dear	1.0	0.7781513	0.7781513
hardy	said	0.75	0.7781513	0.58361346
hardy	fairway	0.75	0.7781513	0.58361346
hardy	true	0.75	0.7781513	0.58361346
hardy	thats	0.75	0.7781513	0.58361346
sinclair	hows	0.625	0.7781513	0.48634455
sinclair	a	0.875	0.47712126	0.4174811
sinclair	hey	0.75	0.7781513	0.58361346
sinclair	that	0.625	0.47712126	0.2982008
sinclair	all	1.0	0.47712126	0.47712126
stevenson	ten	0.75	0.30103	0.2257725
stevenson	that	0.75	0.47712126	0.35784096
stevenson	feet	0.75	0.7781513	0.58361346
stevenson	is	0.75	0.47712126	0.35784096
stevenson	all	1.0	0.47712126	0.47712126
twain	1878	0.625	0.47712126	0.2982008
twain	three	0.625	0.7781513	0.48634455
twain	harris	0.625	0.7781513	0.48634455
twain	years	0.625	0.7781513	0.48634455
twain	service	0.75	0.7781513	0.58361346
twain	go	0.625	0.7781513	0.48634455
twain	to	0.625	0.7781513	0.48634455
twain	trifle	0.625	0.7781513	0.48634455
twain	in	0.625	0.7781513	0.48634455
twain	was	0.625	0.7781513	0.48634455
twain	march	0.625	0.7781513	0.48634455
twain	miles	0.625	0.7781513	0.48634455
twain	five	0.625	0.7781513	0.48634455
twain	a	0.625	0.47712126	0.2982008
twain	this	1.0	0.47712126	0.47712126
twain	ten	0.625	0.30103	0.18814376
twain	hundred	0.625	0.7781513	0.48634455
twain	for	0.875	0.7781513	0.68088233
twain	over	0.625	0.7781513	0.48634455
